Mitigation,Comments
0,"1. The test plan is complete.


2. The team has explained how the factories are created.


3. The team has included the explanation of a few unit tests for understanding."
1,"No tests are written for the functionality, only UI testing is done. Automated tests are not run for the changes made."
1,"Through manual testing, all the changes made would contribute to the expected functionality. If teh RSpec tests are written it would have completed the testing scenario."
1,"Though the complete code looks DRY, commenting the changes would have made it easier to the next developers."
1,Most of the names look intuitive. Only the name tmp_object doesn't appeal much to the functionality. This naming convention could have changed.
1,"There are no test cases written in RSpec , only the UI testing is done. If tests in spec folder are written it would have been great."
1,"Though the write up explains the functionality that is added, it does not include any specific patterns that is used for the development."
1,The write up is pretty clear about the work done. Though there is a very little change in the code the functionality is achieved. Test Plan (Other than UI)section could have been included in the write up.
1,Couldn't find test cases
1,Couldn't find the wiki page
1,Found no test case uploaded in the pull request
0,Code written following the coding standards
0,"Code is written excellently, provided with DRY implementation"
0,Works well when tested
1,"it is well written , but it doesn't have the references mentioned which is extremely important .


References need to be added at the botton as the page ends very abruptly."
1,"yes the writeup explains the project very well. this project was done to improve the code in the review_response controller, to give it better organizat"
1,Yes the authors have considered all the pre- conditions in this project. the tests have been written and organized well making sure that every case is tested and the code passes for these tests.
0,the naming is done appropriately.
1,"the purpose of the project was to improve the code and make it better, this has been achieved."
0,The description takes into account various minute details which makes it easy to understand what the project actually does and what functionality it is related to. Various images reflecting the changes in the code prove to be very effective but it could have been better if every image had a a line description of what is being done as sometimes it gets difficult for the reviewer to figure out the changes and why are they needed while going through a lot of continuous images reflecting code changes.
1,"Zhewei already mentioned some changes. Like, you can directly the assignment variable instead of creating new one each time."
0,"The test plan includes test cases in the 2nd round. However, the coverage is less. Also, many of the edge cases are still not included. Not all of them are automated."
1,"No pull request related to the github repo owner name was find.


The test coverage is unvisible as well due to no pull request."
1,The author hash mentioned the Test plans without the solutions however mentioning them in the Resolving Issues section of the write up. The author has covered all the tests also mentioning the files that has been changed making it very easy to review.
0,"They list a part of RSpec in the bottom part the wiki page, they explain what should be tested and provide their code as well. However, they also mentioned that they can't solve the json_generate problem which make their test failed."
1,Code review not possible since the pul l request link is missing.
1,"The test section mentions their test approach, test framework and test case. However, it is not necessary to screenshot all their test scripts and paste on wiki, too much code."
0,They have added few test cases. Explained why a lot of them were not necessary.
0,"Yes, the authors have created all the required test cases as discussed in the Test Plan."
0,The test cases have been discussed but there is no evidence of them being implemented in such a way that they pass.
0,"Yes, they have discussed the Test Plan in detail in the video. The team also needs to update the Test plan in wiki so that other reviewers could better review the functionality that the team modified."
0,"No new test cases were added, newly created functions could have included corresponding unit tests to verify functionality however trivial it may be."
0,"Yes, in the write-up part, the author discussed the test plan, and in the code part, the author complete the pending test in response_spec.rb, in the test plan, the author describe the methods need to test, and give some contexts, and in the code part, the author implement all test of methods, including unit test and integration test."
0,the tests added are done appropriately.
0,Yes. The team contribute a lot of test code and no obvious missing.
0,"Since their primary task was refactoring which included changing variable/method names, this is taken care of."
0,The names a bit suggested and the naming has been done as suggested in the design requirements too. Also I can not find any unreasonable names provided in the refactored code.
0,"Good choice for variable, method and class names. The selected names follow good Ruby conventions. They are reasonable and easy to understand."
0,The team has implemented good ROR guidelines. They have implemented changes from the last review suggestions. The names used are reasonable and do suggest the functionality.
0,"Code changes include minimal refactoring to accomodate the requirements of the project. As the changes were mainly single line or even single word in the code, it seems reasonablly suggestive of the functionality."
0,Basically the team wanted to follow the DRY rules and Single Responsibly Principle. They divided a big method into several small methods and separate the functions. But they didn't do too much change on the existing code and some places are still not DRY and can be refactored. They changed some variables' name but not big changes.
0,"`spec/models/response_spec.rb` line 127, there is a variable `existingResponse` that doesn't use snake_case. The same in line 137."
0,"their code is not very efficient,they should use some good methods to solve their problem."
0,"they should talk more on refactor process , how they worked to refactor it ."
0,"Nope, why was method names changed? Why did you change sort to sort_by?


These questions are unanswered."
0,"The write up has a section called - ""Refactoring Decision"" which explains what decisions were taken to perform the refactoring to be done in this project."
0,The write-up is done very well. The writing style is smooth and flowing and shows that the team went to a great deal of effort to implement and explain different design strategies and patterns.
0,"Yes, it clearly explains why the authors worked the way they did. The team tried to refactor as much as they could in the requirements.  Team has also implemented many changes since the last review in code base as well as wiki."
0,"The Refactoring decision sections lacks any information regarding the rationale as to why a particular approach was taken, it only contains what was changed and the resultant outcome.  As an outsider to this project, it is hard for me get why."
0,Some of the methods are still long.
0,"The author actually did the explanation part of how and why the authors did the work the way they did, the author give some introduction of this problem and explanation of how to fix or refactor it."
0,"A few functions seem long, but I think they consist of many steps so I think the code's fine. Also the code is doesn't completely follow the Ruby Style guide as can be seen by the code climate check."
0,"The team describe how they did the work in details. The main principles they focused on may be DRY and Single Responsibility, and they split some long methods into small ones. Obviously the team did a lot of work on the page, but it doesn't make much sense by just listing the changes. Organization could be more reasonable, like they can demonstrate modified files along with problems but no need to put them in a new section. Actually the quality of screenshots and video is low, which made them useless."
0,"Code is good. A few things - some formatting issues like no space after or before curly brackets. I saw some opportunities to use symbols instead of string variables. Also there are some very long if blocks that could have been handled betters, like in the redirection method. Overall the code is good but could have been greater.





There is also this extremely long line in action_allowed_method:


return current_user_id?(response.map.reviewer.user_id) || reviewee_team.has_user(current_user) || current_user.role.name == 'Administrator' || (current_user.role.name == 'Instructor' and assignment.instructor_id == current_user.id) || (current_user.role.name == 'Teaching Assistant' and TaMapping.exists?(ta_id: current_user.id, course_id: assignment.course.id))





That's bad!"
0,"Wiki has been detailed with the scenarios and why the changes have been made so it becomes easier to follow the code. The for loop that was used even though DRYed the repeated code, however it has become too long to follow in a single line."
0,The test plan doesn't cover edge cases.
0,"not complete ,they should give more test codes and their explanation"
0,"In the pull request, these codes are good, actually, what the author did is to refactor the original codes, and separate a method is too long. But in my opinion, the author maybe should add some comments of modified codes, because there're too many codes they changed, if you can add some comments, it will help reader understanding and much more easy to read."
0,They have explained why this is not relevant.
0,"The team have contributed many test code and refactor the existing code in ""response.rb"". But it seems that the team only reorganized the existing code but haven't considered if the code is reasonable. The most obvious problem of this file is it contains html code which should be in the view file but not model file. Therefore, it could be refactored further by putting these code in view files and rewrite part of origin methods. I have mentioned this last time but it seems they didn't take my advice. In newly added test code, they also put some new html code in it which make the code more complex."
0,The tests don't seem to be implemented. The orange/brown text on examples shows the tests are not implemented. They should pass with green. More work needed to have been done there.
0,"Since it basically is refactoring, this is not extremely relevant."
1,The test plan looks complete for the given scenario of changes. There are some changes such as in response_spec.rb many factory objects are created where only one could have been used.
0,"No explicit test plan for the project is mentioned, just a section elaborating on how the existing test cases for response.rb pass. Makes no mention of how their changes impact a pre-existing (i.e. do they even affect it) or has a new test case been written to verify their changes. All of the above are missing."
0,"The new-added test plan part is good, in this part, the author describe the different method which need test, and give the contexts, it's very clearly.  And in the code part, the author complete the pending test, pass all the test."
0,"Test Plan introduces the basic work and structure about their test work, but not much detailed explanation."
0,There is no link provided where the project is deployed so that I can manually test the test cases. But the screencast consist of a run of the tests which execute successfully thus it seems like everything works.
0,The team's final submission passes the test. They have also done a great video explaining the changes they have implemented and this is commendable.
0,I could not find the edge cases where the code didn't work. Also the team is integrating changes so hopefully they will pass the pending scenarios.
0,Nothing specific to add here as pre-existing test cases pass with the given changes.
0,"Yes, I download the files the author changed and run the whole project in my own work space, following the Manual testing steps stated in wiki, I do  the manually test of author's work. And the expertiza runs correctly and all the test passed."
0,yes they work very well. all the tests are effective
0,No obvious error occurs.
0,"several places left only one sentence ,making it unclear , I only get basic idea,it should be more specific."
0,"Good write-up. 


Don't like the pictures though. Could have indicated with something better (or at least enlarged pictures: some of them are, while some of them are too small to read)"
0,The explains all the aspects of the project really well. Screenshots of code depict the changes that have been made and also help in explaining the approach these guys have taken to solve the problems assigned to them.
0,I have seen a great improvement in the documentation of the functionalities. It explains the goal of the project and how the changes have been implemented.
0,I can understand what the project is about and what the team refactored fairly easily. The team has explained their work in a simple way by describing it effectively in the wiki as well as in the screen-cast video. Team has also implemented many changes since the last review in code base as well as wiki.
0,"Good enough description which just about does the job, but feel regurgitated from the problem description. Some effort could have been undertaken to add more depth to the description."
0,"In this wrteup, I think it very clearly, there are background introductions, problems need to be done, and the statement of the wrong of original version. After reading the first part of this writeup, I have a basic understanding of this project's objective is to refactor the original version. Compared with the original version, this latest version added more specific description and more screenshot, these new-added part help reader understanding this project and I think the author did a good job."
0,"The writeup page includes many contents. So does the video. They describe the changes and how the team refactor the files, but to some extent, they just list all the changes they've made, but lack of detailed explanation. Like what they have done in wiki page, they use screenshots to mark the changes they made, but It's not necessary to do that. GitHub has already show that in a clear way. And as previously mentioned, it lacks some introductions content. For instance, in the ""background"" section, it is supposed to have a detailed introduction to ""response.rb"" file and what response is in Expertiza. It seems that the team didn't give a good understand or introduction of ""response"" as I think it's mainly related to review functions."
1,The writeup was successful in explaining the functionality implemented.
0,"yes, the project has been well explained in the wiki page. I liked the part mentioning functional Tests for whether students choosing the same topic are in the same team. The wiki page mainly contains the code snippets and a bit more elaboration would be great. The team did not work much on elaborating more as suggested in the last review though."
1,"This time basic logic behind such code has been given but very briefly, a bit more explanation would it make it easier for a non technical readers also to read what is going on!"
1,"The test plans have been covered satisfactorily. The team has although not worked on the last review suggestion regarding what happens if the invitation is declined and not tested that, maybe doing that would make the testing team functionality more exhaustive. Also, they can add the case in which the team size is in accordance with the assignment rules, say 3 participants allowed, so there could have been a check for that too. Again, as the last time the team could have elucidated more in each of the sections on wiki in testing plan. Although i appreciate they have included the test case  regarding Functional Tests for whether students choosing the same topic are in the same team as mentioned in the last point of the functional tests on wiki."
0,The code (functional tests) are well written. They are intuitive and easy to go through. The test coverage has also increased 0.3%.
0,"The code adheres by the ruby guidelines, is DRY and tests have been written properly and to the point."
1,"The tests have been automated and good work by the team on this part, but on the part which I appreciated upon, Functional Tests for whether students choosing the same topic are in the same team, I could not find those in the code and maybe those have not been covered."
0,"The features work as intended, it is just that some of the cases mentioned in the questions above could also have been covered to make it more exhaustive. On the whole, video, wiki and code all three make it better to understand their work as a bit more  explanation could have been put up on the wiki page."
0,The writeup is clear. But they basically did not change or add something after the first round.
1,"They should add some explanation about the tests they wrote. For example, they could add more comments about the code which is hard to follow now."
1,"Different pre-conditions, edge cases, invalid input values are not considered. There are only tests with valid input values. However, tests with invalid input values are the most important. They should test what would happen if users input invalid values."
0,"The variables, methods, and class names look good."
1,There are basically no comment. And the code in team_functionalities_spec.rb is too long. More than ten lines of code is commented out at the end. I think it should be deleted.
0,They converted all the cases discussed in Test Plan into automated tests.
0,The features work as intended. But there is no edge case.
0,The writeup is clear about the functionality changes. It is clear from the requirement that this project was to create functional test cases and how it was implemented.
0,The authors clearly mentions what the topic was and what is the solution they have provided. From the write up it is clear that this was a project to create Test functionality for Test assignment selection. And they have mentioned the tests they have created to check those.
1,"The scenarios are clearly mentioned in the test plan and the automation cases are as well mentioned in the test plan. But to me few other scenarios should have been implemented like student trying to select an topic when they already have one, Student with a topic joins a team then their topic is dropped and the new teams topic is added etc."
0,"The variable, and method names are intuitive enough to understand that what it does."
0,The code looks clean and can be understood from reading it. But more comments are welcome in the code to make it more clear when some one just want to know how the functionality has been implemented without going through the code
0,The author has converted all the cases mentioned in the test plan into automation cases.
1,The written cases works perfectly. Good Job done. But as i mentioned earlier more scenarios could have been implemented.
1,Future work section is desirable
1,"The coverage eventually increased by 0.2%, which is a clear demonstration of the purpose of this change and to what extent it was achieved.


But I would really like the tests to be split across multiple files instead of cramming everything into one."
0,"Test plan is the major part of this project and it is comprehensive.


Good include console log screenshot into the wiki"
1,There are 14 issues reported by codeclimate pending
1,"variable names are out of convention in few places.


there are underscore separated as well as camel case names used. testDirectory for example"
0,That's the whole project essentially.
1,"The video is clear about the test execution and results.


Good if codeclimate errors are taken care of."
0,The  writeup is unchanged and it is less focused on functionality.
0,it explains the approach but not the reason to choose that approach.
0,All the possibilities are covered in the test cases.
0,Mostly methods are taken from the previous code.
1,There can be some more comments to make the code understandable.
0,The author has converted most of the tests mentioned in implementation.
0,Works well for most cases.
0,The write up is pretty clear on what feature is being tested but not as clear as to what led them to develop specific test cases. The writeup is less descriptive.
1,The writeup explains how the authors did the work using the code snippets. They can add descriptions so that it becomes more clear for every reader.
0,The authors have considered pre and post conditions while writing the test cases but haven't explicitly listed them in the writeup.
0,The methods and variables are named well and are intuitive to their functionality.
0,The code is dry and does not smell. The travis bbuild for the code has passed.
0,All the test cases that the author dicussed are automated and work correctly.
0,The  test cases written work correctly as discussed.
0,The write up is pretty clear.
1,Students in the same team test case is not well documented.
0,"Tests are good, not tested for invalid inputs again,"
0,Methods are understandable like last time.
0,tests are still very lengthy like last time.
0,tests are covered and passing.
1,"Could not test edge cases, Rest are working."
0,The writeup explains in detail about the project and what type of test cases the team has built for it.
1,"The wiki page explains what all test cases the team has covered and the code for it, but not enough explanation is given as to why they took this approach for their functional tests."
0,"Test plan looks comprehensive with many test cases with pre-conditions, couldn't find many edge cases tor invalid input scenarios though."
0,Names are intuitive and suggestive of the functionality they do.
0,The code follows good Ruby practices and DRY principle. Functionalities divided into components.
0,Could see from the demo video that the test cases have passed and are automated.
0,The functionalities work properly for the test cases that the team has designed and as intended.
0,"yes, write up explains the work to be done. Video explains the work properly."
1,few of the test cases mentioned in the requirement document are not documented/implemented.
1,"write-up is not complete. Few of the test cases mentioned in the requirement document are not documented, like as team leader, selects a topic of assignment. its not clear from the test plan."
0,yes names are intuitive.
1,Few test cases could be divided into different smaller test cases. Comments could have helped reviewers.
0,test cases mention in the write up are converted to automated test cases. But the test plan does not satisfies the requirement.
1,case to check if a user with any other role can join the team. what happens in such case. what happens if any of the fetch actions fails during a test. What happens when a student already part of a team tries to joins the  team. Negative test cases are not handled.
0,The writeup has a good design and roughly indicate their work
1,Only include their purpose. Didn't explain why the did the work the way they did.
0,Test plan is completed enough
0,Reasonable and easy to understand
1,Almost perfect. And the climate still has issues to fix
0,All tests passed
0,I did not find edge cases not working
0,There is no test plan and neither its mentioned that there project does not need testing plan or not.
0,No test plan.
0,"Satisfactory explanation.


Missed some spelling mistakes at places. (Some letters are not in capitals at the beginning of sentences)."
0,"The authors have explained the gist under ""Changes to be implemented"" and their approach."
0,"Functions have too few comments


Some commented section of the code has not been deleted."
0,"The writeup contains all the code, but the code is too much for a reader to read, and it contains all the functionality the work is related to."
0,There are so much code but not enough explanation. They did not use design principles or patterns.
1,"No test plan at all, maybe their task does not need a test plan just as ours."
0,Names are intuitive and reasonable for the functionality.
0,"There are too many unnecessary comments and many useless spaces in the code, which is not that DRY."
0,No tests added at all... same as the first time.
0,"It works well, but there is no edge cases for this task."
0,"Difficult to identify design pattern, however, the writeup explains the approach very well."
