Comments,Mentions_Problem
"[11856, 6079, 11753, 228]",1
"[10314, 7823, 9219, 6025, 6847, 228]",1
"[10427, 11783, 11110, 2845, 2421, 4331, 10713, 11587, 10427, 6045, 11485, 1238, 5422, 6079, 6025, 9615, 228, 2085, 10458, 11485, 7165, 6697, 7333, 3436, 7700, 7333, 8039, 5633, 10427, 11796, 228]",1
"[10427, 11664, 7577, 3547, 7205, 5209, 869, 10314, 7823, 228, 5425, 179, 6079, 11485, 9785, 5633, 10427, 11351, 10408, 10427, 8131, 8770, 3547, 7205, 5209, 9020, 10314, 3108, 9527, 10427, 2287, 11577, 6828, 228, 2085, 10427, 2469, 3547, 5209, 10374, 228]",1
"[10458, 11485, 7165, 6392, 10713, 10427, 10314, 7823, 179, 9597, 5471, 3013, 7025, 9235, 5505, 1160, 10427, 10314, 2214, 5633, 4994, 11577, 1506, 7628, 7333, 10427, 10314, 7823, 228]",1
"[3013, 7025, 4560, 10427, 11664, 7577]",0
"[4780, 7165, 10314, 2208, 11130, 5633, 10427, 8237, 8750]",1
"[2469, 11816, 4685, 10427, 2502, 9768]",0
"[2469, 6025, 11816, 4185, 179, 8215, 11696, 3818, 5563]",0
"[3013, 7025, 4560, 10314, 2214]",0
"[11753, 11545, 11603, 10346]",0
"[6079, 6025, 11545, 11816, 179, 2085, 6079, 3718, 7025, 5209, 10427, 8571, 6699, 11617, 6025, 4401, 5608, 228, 8571, 7109, 10713, 1826, 995, 1617, 10427, 2002, 1506, 10427, 7577, 4027, 11341, 889, 228]",1
"[11856, 10427, 11796, 4322, 10427, 8131, 11341, 11545, 228, 10623, 8131, 11485, 3745, 10713, 5621, 10427, 2469, 5633, 10427, 8909, 2895, 179, 10713, 5021, 6079, 1903, 7489]",1
"[11856, 10427, 1669, 5209, 2808, 1160, 10427, 7967, 2755, 5633, 10623, 8131, 228, 10427, 10374, 5209, 1845, 11816, 1238, 7493, 11545, 6579, 10120, 10408, 4144, 2208, 6025, 10346, 1238, 10427, 2469, 7671, 4709, 10471, 10374, 228]",1
"[10427, 7061, 6025, 3745, 1420, 228]",1
"[10427, 8247, 7333, 10427, 8131, 11485, 10713, 5621, 10427, 2469, 1238, 6572, 6079, 1903, 179, 10623, 5194, 1845, 941, 228]",1
"[10427, 10374, 995, 1456, 3745, 1420, 228]",1
"[10458, 6025, 7165, 6697, 7333, 10427, 1399, 10713, 9618, 10427, 8065, 228, 6658, 10427, 9828, 4677, 2159, 1826, 6699]",1
"[10647, 10427, 11783, 11110, 4322, 10427, 4869, 10408, 6025, 995, 179, 6079, 3718, 7205, 5655, 1290, 9698, 7700, 10408, 6025, 11167, 4709, 10427, 3513, 228]",0
"[10427, 10314, 2214, 5209, 1845, 3628, 2085, 10458, 6025, 7165, 4157, 7333, 10443, 1879, 5574, 5633, 10026, 869, 11502, 10408, 10475, 7662, 228]",1
"[10057, 835, 429, 10314, 4527, 5209, 3837, 10314, 2214, 11696, 7423, 5435, 10199, 2277, 228, 160, 3818, 161, 547, 7165, 2568, 1456, 6699, 5633, 2469, 1617, 1160, 228, 160, 6964, 2568, 161, 635, 9527, 10623, 6025, 7205, 9037, 2469, 5471, 2159, 7205, 2316, 11612, 9037, 9953, 5132, 6025, 4677, 228, 160, 9037, 9953, 5132, 161, 687, 228, 868, 6093, 9, 1238, 868, 8184, 9, 5209, 4166, 9070, 2469, 11696, 5189, 1228, 1637, 2273, 5827, 228, 10623, 3718, 7205, 4669, 10943, 10608, 160, 1290, 7333, 10427, 2469, 7115, 1826, 4396, 5944, 9319, 6772, 179, 3818, 161]",1
"[10427, 10314, 7823, 5666, 10314, 2214, 5633, 10427, 623, 8996, 228, 5425, 179, 10427, 3043, 6025, 6323, 228, 1184, 179, 6605, 7333, 10427, 3900, 2214, 1456, 9841, 7205, 5656, 228, 7205, 1160, 7333, 10443, 1456, 1687, 228]",1
"[10475, 5209, 2944, 4503, 10314, 2214, 3001, 10713, 6045, 1506, 1687, 10314, 2214, 2085, 3900, 2214, 8629, 10713, 6051, 1456, 9841, 6847, 228]",1
"[7165, 10314, 7823, 228]",1
"[7165, 8237, 8750, 8629, 10713, 10427, 4997, 8724, 7568, 7036, 11485, 4560, 228, 10427, 10314, 3043, 6025, 11106, 1506, 11545, 3828, 10713, 7165, 8237, 8750, 228]",0
"[10475, 6408, 869, 7628, 7333, 9020, 5633, 10427, 2001, 7628, 10427, 11664, 7577, 179, 10475, 4297, 11587, 9425, 1826, 10346, 1238, 8214, 10429, 2469, 1506, 11545, 228, 5425, 179, 10475, 1184, 6699, 10408, 10475, 2134, 7025, 9613, 10427, 6193, 8065, 11617, 6572, 10429, 10314, 4423, 228]",0
"[2469, 8895, 7205, 7926, 9527, 10427, 8236, 6248, 8750, 6392, 6025, 6847, 228]",0
"[11856, 179, 10475, 5209, 3628, 10427, 10314, 7823, 5633, 3485, 5633, 10427, 11351, 228, 10427, 10237, 1184, 7115, 10713, 11118, 10427, 10314, 7823, 5633, 11664, 9597, 10408, 7510, 8922, 3013, 1903, 8895, 10427, 4869, 10408, 10427, 10237, 6931, 228]",1
"[10475, 5209, 995, 4503, 10314, 2214, 228, 4304, 11654, 869, 6511, 7333, 10443, 11577, 7205, 7100, 228]",0
"[11856, 179, 10427, 1669, 5209, 3090, 1160, 10427, 8764, 10314, 2214, 1506, 3628, 5633, 10427, 10314, 7823, 228]",0
"[7165, 7134, 10314, 2214, 11577, 995, 179, 7142, 3090, 4891, 3013, 5209, 5656, 3001, 11071, 10374, 10713, 11334, 4869, 5425, 10913, 6079, 6657, 1826, 228]",0
"[11856, 179, 5633, 10427, 11784, 7628, 179, 10427, 1661, 3628, 10427, 10314, 7823, 179, 1238, 5633, 10427, 2469, 7628, 179, 10427, 1661, 2664, 10427, 7719, 10314, 5633, 8830, 179, 5633, 10427, 10314, 7823, 179, 10427, 1661, 3407, 10427, 6772, 7109, 10713, 10314, 179, 1238, 5021, 9619, 2863, 179, 1238, 5633, 10427, 2469, 7628, 179, 10427, 1661, 5559, 1160, 10314, 7333, 6772, 179, 5670, 11071, 10314, 1238, 5884, 10314, 228]",0
"[11856, 228, 10427, 10237, 2884, 869, 6511, 7333, 10314, 2469, 1238, 7165, 7314, 6847, 228]",0
"[9527, 10429, 8033, 10221, 11485, 8559, 11617, 5656, 2305, 11290, 7050, 179, 10623, 6025, 10202, 2195, 7333, 228]",0
"[10427, 7050, 869, 1945, 10045, 1238, 10427, 7061, 5194, 1845, 3745, 1506, 10045, 5633, 10427, 3436, 8771, 10739, 228, 1184, 5471, 2159, 7205, 4560, 1290, 11091, 7050, 8215, 5633, 10427, 8558, 2469, 228]",0
"[5053, 2348, 4709, 11289, 179, 6762, 1238, 2388, 7050, 228, 10427, 9273, 7050, 4669, 5053, 9037, 2931, 228, 10475, 1456, 8475, 1238, 3890, 10713, 11017, 228]",0
"[10427, 10237, 5194, 5574, 5053, 8993, 5136, 228, 10475, 5209, 5574, 2287, 4813, 10427, 6271, 8895, 10057, 228, 10427, 7050, 11167, 1456, 8475, 1238, 3677, 10044, 10427, 4869, 228]",0
"[2469, 2287, 5655, 6818, 8559, 10713, 920, 10427, 8771, 7333, 10427, 8131, 228, 1506, 10427, 2287, 11577, 6560, 9530, 6379, 7474, 4138, 9530, 11725, 5633, 10427, 2469, 179, 6079, 9252, 8482, 10064, 7333, 10427, 4869, 228]",0
"[1820, 10427, 10237, 11475, 10713, 4669, 10427, 3818, 9043, 1238, 9530, 8839, 8035, 228, 10475, 3669, 869, 1940, 6762, 5944, 9387, 9567, 6772, 1238, 9319, 10427, 4891, 228, 2085, 10475, 3547, 7025, 3677, 10739, 6994, 2273, 7394, 10427, 4222, 2469, 1238, 9619, 7817, 1456, 9841, 7205, 3818, 1238, 2159, 1826, 8558, 228, 10475, 2277, 9619, 11291, 8, 7036, 2085, 7205, 1940, 2287, 228]",1
"[867, 9691, 867, 6379, 501, 179, 10458, 6025, 869, 11289, 867, 4224, 867, 10408, 3718, 7025, 11154, 9584, 228, 10427, 9070, 5633, 6379, 2, 228]",1
"[10429, 2469, 6025, 7205, 11341, 3926, 179, 10475, 9425, 11154, 9619, 5053, 6772, 10713, 9613, 10429, 8065, 228]",1
"[10475, 9425, 10207, 6964, 7394, 8557, 8088, 179, 5422, 10475, 11737, 10713, 8557, 6079, 228]",1
"[7195, 179, 11654, 11485, 6762, 7050, 2277, 847, 11654, 3547, 11873, 2273, 9644, 10713, 9647, 847, 10471, 8300, 1456, 10991, 228]",1
"[10427, 11783, 11110, 5194, 869, 9219, 2153, 180, 868, 8559, 3254, 9, 11617, 4322, 11587, 3255, 11577, 10202, 10713, 7739, 10427, 8559, 10713, 1826, 3745, 5633, 10623, 8131, 228]",0
"[10427, 11784, 6025, 3745, 11341, 11545, 228, 10427, 11812, 9953, 6025, 9580, 1238, 4645, 1238, 9459, 10408, 10427, 10237, 11576, 10713, 869, 5105, 3238, 7333, 3930, 10713, 5559, 1238, 4297, 3564, 3436, 9869, 1238, 7700, 228]",0
"[11856, 179, 6079, 2429, 4322, 11654, 10427, 1669, 11737, 10427, 11502, 10475, 3547, 228, 10427, 10237, 10904, 10713, 8557, 1506, 6994, 1506, 10475, 3013, 5633, 10427, 8771, 228, 10237, 5194, 1184, 5574, 6605, 2287, 9527, 10427, 6271, 8895, 5633, 2469, 1814, 1506, 11545, 1506, 11664, 228]",0
"[10427, 8559, 3254, 9222, 6258, 1290, 5756, 8593, 10427, 8358, 1506, 10713, 11654, 869, 7651, 1399, 11485, 10202, 179, 6079, 7423, 2845, 11587, 11485, 2277, 1238, 10427, 8860, 7525, 228, 1506, 1228, 7540, 10713, 10623, 8131, 179, 6079, 6025, 5180, 4709, 6661, 4966, 11654, 228]",1
"[9619, 7333, 10427, 6772, 1456, 9841, 6483, 228]",1
"[10427, 1661, 972, 3547, 10427, 4331, 7628, 7333, 5422, 1238, 11654, 10427, 1669, 3547, 10427, 11732, 10427, 11502, 10475, 3547, 179, 10427, 1661, 5021, 9619, 5955, 7333, 10623, 8065, 1238, 4331, 7333, 5422, 10713, 4595, 7474, 8557, 6079, 228]",0
"[869, 4503, 4891, 9246, 6483, 179, 2085, 5471, 10614, 10475, 2813, 7333, 6605, 9828, 9597, 5471, 10614, 10427, 2469, 122, 4568, 228, 1184, 10427, 2469, 6025, 3718, 7025, 2669, 4669, 10427, 9037, 9953, 5132, 1506, 2159, 1826, 9255, 2121, 10427, 2469, 2443, 2316, 228]",1
"[10427, 10237, 3407, 5422, 10475, 3547, 10427, 11732, 5633, 3492, 228, 10427, 6559, 8039, 10475, 4659, 7394, 6657, 1826, 3818, 1238, 9530, 8837, 179, 1238, 10475, 9725, 9619, 6483, 6772, 5944, 9567, 7408, 228, 7315, 10427, 10237, 3547, 869, 6511, 7333, 11732, 7394, 10427, 7577, 179, 2085, 6079, 3718, 7025, 6572, 6994, 9305, 2121, 6207, 6417, 10427, 2287, 228, 7490, 3013, 1826, 6964, 8475, 179, 6359, 10475, 2159, 3353, 6931, 4527, 1175, 11696, 8071, 2085, 7165, 7109, 10713, 8260, 10443, 5633, 869, 7134, 9219, 228, 972, 10427, 8271, 7333, 9180, 1238, 11351, 6025, 6520, 179, 11617, 6541, 10443, 11181, 228]",1
"[2469, 6025, 5053, 228, 869, 4503, 10608, 180, 9619, 4740, 6051, 6359, 7165, 9666, 1102, 7474, 1855, 3163, 2012, 228, 5471, 9104, 9619, 7457, 10713, 11154, 10142, 5850, 7333, 9888, 11291, 228, 1184, 10458, 1456, 9619, 11341, 6483, 5505, 1964, 10408, 3013, 5209, 1845, 5164, 1907, 179, 6359, 5633, 10427, 8536, 6762, 228, 7549, 10427, 2469, 6025, 5053, 2085, 3013, 5209, 1845, 5108, 228, 10458, 6025, 1184, 10623, 4401, 6483, 6379, 5633, 954, 835, 8878, 3177, 847, 160, 8821, 161, 11899, 8919, 160, 3169, 161, 11899, 3174, 843, 21, 8, 11899, 160, 3174, 843, 83, 8, 1238, 1549, 843, 3170, 161, 11899, 160, 3174, 843, 136, 1590, 8, 1238, 10214, 847, 160, 10173, 835, 3170, 179, 3038, 835, 1543, 161, 161, 10408, 122, 1792, 4]",1
