Comments,Mentions_Problem
"[7729, 4028, 7680, 192]",1
"[6925, 5179, 6166, 4009, 4543, 192]",1
"[6976, 7696, 7283, 1970, 1674, 2945, 7060, 7597, 6976, 4022, 7533, 961, 3627, 4028, 4009, 6436, 192, 1466, 6985, 7533, 4753, 4449, 4851, 2360, 5090, 4851, 5334, 3767, 6976, 7704, 192]",1
"[6976, 7631, 5001, 2421, 4788, 3490, 711, 6925, 5179, 192, 3629, 156, 4028, 7533, 6570, 3767, 6976, 7436, 6973, 6976, 5397, 5843, 2421, 4788, 3490, 6029, 6925, 2135, 6369, 6976, 1581, 7592, 4528, 192, 1466, 6976, 1713, 2421, 3490, 6959, 192]",1
"[6985, 7533, 4753, 4241, 7060, 6976, 6925, 5179, 156, 6428, 3657, 2083, 4662, 6170, 3684, 909, 6976, 6925, 1537, 3767, 3343, 7592, 1103, 5035, 4851, 6976, 6925, 5179, 192]",1
"[2083, 4662, 3084, 6976, 7631, 5001]",0
"[3210, 4753, 6925, 1534, 7301, 3767, 6976, 5461, 5834]",1
"[1713, 7708, 3162, 6976, 1727, 6558]",0
"[1713, 4009, 7708, 2861, 156, 5443, 7651, 2596, 3729]",0
"[2083, 4662, 3084, 6925, 1537]",0
"[7680, 7573, 7602, 6951]",0
"[4028, 4009, 7573, 7708, 156, 1466, 4028, 2536, 4662, 3490, 6976, 5701, 4451, 7611, 4009, 2979, 3749, 192, 5701, 4712, 7060, 1299, 810, 1177, 6976, 1403, 1103, 6976, 5001, 2751, 7433, 726, 192]",1
"[7729, 6976, 7704, 2942, 6976, 5397, 7433, 7573, 192, 7005, 5397, 7533, 2546, 7060, 3759, 6976, 1713, 3767, 6976, 5950, 2008, 156, 7060, 3355, 4028, 1347, 4935]",1
"[7729, 6976, 1214, 3490, 1944, 909, 6976, 5274, 1904, 3767, 7005, 5397, 192, 6976, 6959, 3490, 1311, 7708, 961, 4939, 7573, 4363, 6794, 6973, 2833, 1534, 4009, 6951, 961, 6976, 1713, 5069, 3174, 6991, 6959, 192]",1
"[6976, 4683, 4009, 2546, 1056, 192]",1
"[6976, 5469, 4851, 6976, 5397, 7533, 7060, 3759, 6976, 1713, 961, 4359, 4028, 1347, 156, 7005, 3479, 1311, 766, 192]",1
"[6976, 6959, 810, 1077, 2546, 1056, 192]",1
"[6985, 4009, 4753, 4449, 4851, 6976, 1050, 7060, 6438, 6976, 5351, 192, 4422, 6976, 6592, 3159, 1499, 1299, 4451]",1
"[7012, 6976, 7696, 7283, 2942, 6976, 3264, 6973, 4009, 810, 156, 4028, 2536, 4788, 3785, 975, 6497, 5090, 6973, 4009, 7324, 3174, 6976, 2401, 192]",0
"[6976, 6925, 1537, 3490, 1311, 2483, 1466, 6985, 4009, 4753, 2841, 4851, 6979, 1331, 3731, 3767, 6728, 711, 7542, 6973, 6994, 5063, 192]",1
"[6754, 683, 334, 6925, 3067, 3490, 2612, 6925, 1537, 7651, 4889, 3633, 6846, 1578, 192, 140, 2596, 141, 435, 4753, 1778, 1077, 4451, 3767, 1713, 1177, 909, 192, 140, 4627, 1778, 141, 499, 6369, 7005, 4009, 4788, 6038, 1713, 3657, 1499, 4788, 1598, 7609, 6038, 6675, 3430, 4009, 3159, 192, 140, 6038, 6675, 3430, 141, 540, 192, 710, 4035, 9, 961, 710, 5422, 9, 3490, 2848, 6063, 1713, 7651, 3475, 954, 1194, 1576, 3892, 192, 7005, 2536, 4788, 3154, 7171, 6998, 140, 975, 4851, 6976, 1713, 4715, 1299, 2976, 3970, 6234, 4496, 156, 2596, 141]",1
"[6976, 6925, 5179, 3789, 6925, 1537, 3767, 6976, 494, 6013, 192, 3629, 156, 6976, 2101, 4009, 4202, 192, 925, 156, 4380, 4851, 6976, 2652, 1537, 1077, 6598, 4788, 3786, 192, 4788, 909, 4851, 6979, 1077, 1224, 192]",1
"[6994, 3490, 2036, 3053, 6925, 1537, 2075, 7060, 4022, 1103, 1224, 6925, 1537, 1466, 2652, 1537, 5746, 7060, 4025, 1077, 6598, 4543, 192]",1
"[4753, 6925, 5179, 192]",1
"[4753, 5461, 5834, 5746, 7060, 6976, 3345, 5820, 4993, 4673, 7533, 3084, 192, 6976, 6925, 2101, 4009, 7279, 1103, 7573, 2604, 7060, 4753, 5461, 5834, 192]",0
"[6994, 4251, 711, 5035, 4851, 6029, 3767, 6976, 1402, 5035, 6976, 7631, 5001, 156, 6994, 2936, 7597, 6312, 1299, 6951, 961, 5442, 6978, 1713, 1103, 7573, 192, 3629, 156, 6994, 925, 4451, 6973, 6994, 1478, 4662, 6435, 6976, 4087, 5351, 7611, 4359, 6978, 6925, 2999, 192]",0
"[1713, 5943, 4788, 5246, 6369, 6976, 5460, 4140, 5834, 4241, 4009, 4543, 192]",0
"[7729, 156, 6994, 3490, 2483, 6976, 6925, 5179, 3767, 2384, 3767, 6976, 7436, 192, 6976, 6875, 925, 4715, 7060, 7289, 6976, 6925, 5179, 3767, 7631, 6428, 6973, 4952, 5960, 2083, 1347, 5943, 6976, 3264, 6973, 6976, 6875, 4600, 192]",1
"[6994, 3490, 810, 3053, 6925, 1537, 192, 2938, 7624, 711, 4320, 4851, 6979, 7592, 4788, 4707, 192]",0
"[7729, 156, 6976, 1214, 3490, 2127, 909, 6976, 5841, 6925, 1537, 1103, 2483, 3767, 6976, 6925, 5179, 192]",0
"[4753, 4730, 6925, 1537, 7592, 810, 156, 4738, 2127, 3275, 2083, 3490, 3786, 2075, 7251, 6959, 7060, 7428, 3264, 3629, 7149, 4028, 4421, 1299, 192]",0
"[7729, 156, 3767, 6976, 7697, 5035, 156, 6976, 1208, 2483, 6976, 6925, 5179, 156, 961, 3767, 6976, 1713, 5035, 156, 6976, 1208, 1835, 6976, 5103, 6925, 3767, 5888, 156, 3767, 6976, 6925, 5179, 156, 6976, 1208, 2347, 6976, 4496, 4712, 7060, 6925, 156, 961, 3355, 6439, 1979, 156, 961, 3767, 6976, 1713, 5035, 156, 6976, 1208, 3728, 909, 6925, 4851, 4496, 156, 3790, 7251, 6925, 961, 3926, 6925, 192]",0
"[7729, 192, 6976, 6875, 1999, 711, 4320, 4851, 6925, 1713, 961, 4753, 4837, 4543, 192]",0
"[6369, 6978, 5332, 6866, 7533, 5695, 7611, 3786, 1587, 7401, 4680, 156, 7005, 4009, 6849, 1523, 4851, 192]",0
"[6976, 4680, 711, 1359, 6742, 961, 6976, 4683, 3479, 1311, 2546, 1103, 6742, 3767, 6976, 2360, 5844, 7081, 192, 925, 3657, 1499, 4788, 3084, 975, 7267, 4680, 5443, 3767, 6976, 5694, 1713, 192]",0
"[3379, 1622, 3174, 7400, 156, 4489, 961, 1652, 4680, 192, 6976, 6195, 4680, 3154, 3379, 6038, 2027, 192, 6994, 1077, 5627, 961, 2646, 7060, 7218, 192]",0
"[6976, 6875, 3479, 3731, 3379, 6010, 3433, 192, 6994, 3490, 3731, 1581, 3237, 6976, 4159, 5943, 6754, 192, 6976, 4680, 7324, 1077, 5627, 961, 2521, 6741, 6976, 3264, 192]",0
"[1713, 1581, 3785, 4521, 5695, 7060, 749, 6976, 5844, 4851, 6976, 5397, 192, 1103, 6976, 1581, 7592, 4348, 6372, 4235, 4925, 2828, 6372, 7665, 3767, 6976, 1713, 156, 4028, 6183, 5628, 6756, 4851, 6976, 3264, 192]",0
"[1293, 6976, 6875, 7527, 7060, 3154, 6976, 2596, 6042, 961, 6372, 5896, 5333, 192, 6994, 2513, 711, 1354, 4489, 3970, 6281, 6404, 4496, 961, 6234, 6976, 3275, 192, 1466, 6994, 2421, 4662, 2521, 7081, 4647, 1576, 4876, 6976, 2891, 1713, 961, 6439, 5174, 1077, 6598, 4788, 2596, 961, 1499, 1299, 5694, 192, 6994, 1578, 6439, 7402, 8, 4673, 1466, 4788, 1354, 1581, 192]",1
"[709, 6491, 709, 4235, 392, 156, 6985, 4009, 711, 7400, 709, 2892, 709, 6973, 2536, 4662, 7318, 6417, 192, 6976, 6063, 3767, 4235, 2, 192]",1
"[6978, 1713, 4009, 4788, 7433, 2677, 156, 6994, 6312, 7318, 6439, 3379, 4496, 7060, 6435, 6978, 5351, 192]",1
"[6994, 6312, 6852, 4627, 4876, 5693, 5360, 156, 3627, 6994, 7671, 7060, 5693, 4028, 192]",1
"[4779, 156, 7624, 7533, 4489, 4680, 1578, 692, 7624, 2421, 7735, 1576, 6455, 7060, 6457, 692, 6991, 5505, 1077, 7197, 192]",1
"[6976, 7696, 7283, 3479, 711, 6166, 1493, 157, 710, 5695, 2241, 9, 7611, 2942, 7597, 2242, 7592, 6849, 7060, 5114, 6976, 5695, 7060, 1299, 2546, 3767, 7005, 5397, 192]",0
"[6976, 7697, 4009, 2546, 7433, 7573, 192, 6976, 7707, 6675, 4009, 6413, 961, 3136, 961, 6323, 6973, 6976, 6875, 7591, 7060, 711, 3409, 2227, 4851, 2680, 7060, 3728, 961, 2936, 2431, 2360, 6616, 961, 5090, 192]",0
"[7729, 156, 4028, 1680, 2942, 7624, 6976, 1214, 7671, 6976, 7542, 6994, 2421, 192, 6976, 6875, 7144, 7060, 5693, 1103, 4647, 1103, 6994, 2083, 3767, 6976, 5844, 192, 6875, 3479, 925, 3731, 4380, 1581, 6369, 6976, 4159, 5943, 3767, 1713, 1287, 1103, 7573, 1103, 7631, 192]",0
"[6976, 5695, 2241, 6167, 4149, 975, 3854, 5718, 6976, 5553, 1103, 7060, 7624, 711, 5055, 1050, 7533, 6849, 156, 4028, 4889, 1970, 7597, 7533, 1578, 961, 6976, 5916, 4960, 192, 1103, 954, 4972, 7060, 7005, 5397, 156, 4028, 4009, 3467, 3174, 4423, 3320, 7624, 192]",1
"[6439, 4851, 6976, 4496, 1077, 6598, 4304, 192]",1
"[6976, 1208, 790, 2421, 6976, 2945, 5035, 4851, 3627, 961, 7624, 6976, 1214, 2421, 6976, 7670, 6976, 7542, 6994, 2421, 156, 6976, 1208, 3355, 6439, 3978, 4851, 7005, 5351, 961, 2945, 4851, 3627, 7060, 3105, 4925, 5693, 4028, 192]",0
"[711, 3053, 3275, 6179, 4304, 156, 1466, 3657, 6999, 6994, 1947, 4851, 4380, 6592, 6428, 3657, 6999, 6976, 1713, 109, 3090, 192, 925, 6976, 1713, 4009, 2536, 4662, 1837, 3154, 6976, 6038, 6675, 3430, 1103, 1499, 1299, 6184, 1473, 6976, 1713, 1690, 1598, 192]",1
"[6976, 6875, 2347, 3627, 6994, 2421, 6976, 7670, 3767, 2387, 192, 6976, 4347, 5334, 6994, 3146, 4876, 4421, 1299, 2596, 961, 6372, 5894, 156, 961, 6994, 6522, 6439, 4304, 4496, 3970, 6404, 4886, 192, 4838, 6976, 6875, 2421, 711, 4320, 4851, 7670, 4876, 6976, 5001, 156, 1466, 4028, 2536, 4662, 4359, 4647, 6225, 1473, 4100, 4256, 6976, 1581, 192, 4936, 2083, 1299, 4627, 5627, 156, 4226, 6994, 1499, 2313, 4600, 3067, 917, 7651, 5353, 1466, 4753, 4712, 7060, 5476, 6979, 3767, 711, 4730, 6166, 192, 790, 6976, 5484, 4851, 6142, 961, 7436, 4009, 4325, 156, 7611, 4338, 6979, 7328, 192]",1
"[1713, 4009, 3379, 192, 711, 3053, 6998, 157, 6439, 3198, 4025, 4226, 4753, 6468, 877, 4925, 1312, 2173, 1412, 192, 3657, 6090, 6439, 4911, 7060, 7318, 6812, 3906, 4851, 6628, 7402, 192, 925, 6985, 1077, 6439, 7433, 4304, 3684, 1372, 6973, 2083, 3490, 1311, 3454, 1349, 156, 4226, 3767, 6976, 5675, 4489, 192, 4976, 6976, 1713, 4009, 3379, 1466, 2083, 3490, 1311, 3410, 192, 6985, 4009, 925, 7005, 2979, 4304, 4235, 3767, 776, 683, 5930, 2180, 692, 140, 5880, 141, 7750, 5958, 140, 2177, 141, 7750, 2179, 690, 21, 8, 7750, 140, 2179, 690, 74, 8, 961, 1137, 690, 2178, 141, 7750, 140, 2179, 690, 122, 1166, 8, 961, 6859, 692, 140, 6829, 683, 2178, 156, 2098, 683, 1132, 141, 141, 6973, 109, 1272, 4]",1
"[7631, 3479, 1311, 2385, 7651, 6976, 6103, 961, 7624, 6976, 1581, 3490, 1311, 4338, 6428, 4028, 1308, 2642, 7060, 3154, 6976, 1713, 192, 6976, 3174, 4311, 6973, 7533, 7324, 2828, 7012, 2598, 6976, 5803, 1713, 156, 3629, 4028, 3479, 1307, 7081, 4304, 7060, 3154, 3767, 711, 6372, 4235, 192]",1
"[4157, 1706, 1713, 3767, 1567, 1080, 3490, 1311, 1437, 2562, 3970, 3275, 4363, 4028, 4627, 2644, 5575, 961, 1898, 192, 936, 6439, 4851, 6976, 1581, 4307, 4986, 7149, 961, 4712, 4788, 3490, 1311, 1578, 192]",1
"[6976, 6925, 5179, 2536, 4662, 2100, 2652, 1537, 192]",1
"[4788, 1835, 156, 6994, 6312, 3355, 4627, 6925, 1725, 961, 6978, 2945]",1
"[3767, 6976, 5461, 5834, 156, 6991, 1725, 1077, 3379, 156, 790, 156, 7597, 6976, 1208, 2421, 4009, 7060, 5693, 6976, 4942, 1725, 156, 961, 6234, 711, 4489, 4009, 7081, 4304, 192, 1466, 3767, 4657, 4909, 156, 6976, 1208, 4422, 6312, 794, 6439, 1778, 4851, 4600, 1725, 156, 1306, 6985, 102, 7081, 4380, 1725, 6994, 1578, 156, 3684, 7735, 1499, 794, 6439, 1778, 156, 4028, 7636, 3518, 5577, 7224, 961, 4647, 4627, 2646, 7060, 5571, 192]",1
"[6994, 3490, 2938, 7624, 7005, 4009, 4788, 5762, 192]",0
"[6976, 6925, 5179, 3479, 1311, 5443, 3767, 6976, 7631, 961, 6959, 3490, 1311, 6322, 3767, 6976, 6134, 192, 6281, 1537, 3490, 1311, 1944, 6959, 3490, 1311, 4338, 758, 192]",0
