Comments,Mentions_Problem
"[4938, 7772, 1645, 4082, 1120, 3814, 7047, 7966, 3050, 117, 4689, 4938, 4113, 4082, 7392, 144, 7047, 2364, 3318, 6253, 7429, 7207, 7049, 3765, 3661, 144]",0
"[7161, 4844, 4702, 551, 3468, 7908, 9, 1377, 6666, 3429, 1645, 7845, 3395, 5497, 6706, 144]",1
"[3368, 4303, 4082, 4844, 6773, 144, 3696, 2532, 7047, 5900, 831, 4113, 3495, 1186, 438, 1724, 7845, 1192, 6168, 831, 6183, 3333, 3179, 5711, 831, 3642, 7977]",0
"[4844, 7458, 4982, 3366, 144]",1
"[7068, 4082, 4821, 3368, 4303, 5547, 144, 3966, 7047, 1645, 7697, 7967, 3814, 822, 956, 831, 5357, 4982, 2884, 144, 7047, 1645, 3495, 4821, 3765, 4938, 859, 3283, 7775, 117, 3661, 117, 81, 8, 1645, 3055, 2839, 3814, 7047, 7966, 7845, 4815, 2357, 3765, 144, 1645, 3179, 49, 8, 4082, 647, 7161, 144]",1
"[3696, 2466, 4723, 6242, 7047, 3366, 4303, 3549, 144, 5930, 7207, 7457, 7047, 3366, 4303, 831, 2276, 7467, 3814, 2871, 3966, 4938, 7047, 5497, 3152]",1
"[7047, 3366, 5912, 4303, 4082, 4844, 5547, 144, 552, 7966, 3050, 4082, 5547, 3966, 144]",1
"[4821, 5671, 117, 5026, 3366, 4303, 117, 1645, 4082, 2394, 7207, 6532, 7173, 3245, 7047, 7966, 3050, 144]",1
"[1428, 4844, 4337, 7047, 4995, 5098, 144]",1
"[1428, 4844, 6118, 7047, 879]",1
"[4821, 5671, 3050, 3224]",1
"[7047, 5497, 4082, 4844, 2273, 4982, 2646, 4938, 4517, 1636, 5300, 6796, 986, 3552, 117, 1138, 5026, 7588, 144, 3966, 822, 4342, 6118, 6322, 80, 4077, 4303, 4082, 5547, 117, 7791, 2494, 4723, 6249, 7207, 7867, 144, 986, 552, 5991, 117, 3696, 1428, 4844, 6989, 7047, 4014, 1062, 768, 144, 4821, 5671, 4082, 5547, 986, 7740, 144]",1
"[3696, 2466, 4723, 6242, 7047, 2276, 7467, 7207, 1707, 4982, 7146, 831, 5984, 5053, 7352, 5603, 144, 5930, 7207, 7457, 7047, 3366, 4303, 831, 2276, 7467, 3814, 2871, 3966, 4938, 7047, 5497, 3152]",1
"[7047, 4303, 6253, 7207, 1197, 552, 4341, 2276, 144]",0
"[768, 7020, 3814, 7047, 7966, 3050, 957, 6165, 3333, 144]",0
"[7947, 117, 7047, 3617, 1944, 3495, 1210, 7002, 144]",0
"[4821, 7011, 3495, 1210, 2513, 873, 3245, 7047, 1109, 7020, 144]",0
"[6989, 1465, 3179, 49, 1944, 8, 3507, 1210, 3772, 3814, 7047, 1645, 144, 4821, 6989, 1465, 3179, 4639, 2839, 144]",1
"[3696, 2466, 4723, 6242, 7047, 3366, 4303, 7207, 1707, 4982, 7146, 144, 5930, 7047, 6940, 7207, 7457, 7047, 3366, 4303, 831, 2276, 7467, 3814, 2871, 3966, 4938, 7047, 5497, 3152, 7977]",1
"[7047, 4303, 7207, 3366, 4082, 4844, 5547, 144]",1
"[4821, 3366, 4303, 1120, 7207, 7281, 5490, 144]",1
"[1428, 4844, 6968, 7847, 552, 3366, 4303, 144]",1
"[4997, 438, 1724, 117, 4821, 3368, 4303, 144, 3486, 7207, 6019, 144, 5304, 7450, 7047, 6768, 7845, 552, 3368, 4303, 6499, 5053, 6039, 1428, 4492, 3376, 6516, 5477, 3028, 726, 7011, 7047, 879, 144, 7977, 7977]",1
"[7047, 7966, 5357, 2494, 4723, 6249, 7207, 1197, 7453, 733, 4230, 726, 340, 4932]",0
"[3696, 2466, 4723, 6242, 7047, 3366, 4303, 7207, 1707, 4982, 7146, 144, 5930, 7047, 6940, 7207, 7457, 7047, 3366, 4303, 831, 2276, 7467, 3814, 2871, 3966, 4938, 7047, 5497, 3152]",1
"[4821, 6989, 1465, 3507, 1210, 3772, 3179, 859, 2754, 144]",1
"[7947, 117, 7047, 1951, 3507, 1210, 5518, 7002, 144]",0
"[8095, 957, 6516, 7020, 3179, 7047, 1951, 117, 1377, 4113, 4378, 4285, 4175, 7047, 6165, 3333, 7020, 144]",1
"[7047, 6940, 3495, 3772, 4679, 4285, 527, 4360, 117, 6419, 117, 4369, 117, 4316, 768, 1745, 831, 4316, 768, 3642, 144, 3661, 117, 7076, 4214, 3814, 4459, 3273, 831, 7384, 2597, 4678, 144, 6499, 7076, 957, 4844, 5518, 3772, 144, 7076, 4214, 7561, 117, 6330, 4445, 831, 7137, 4285, 4709, 6135, 2674, 668, 1428, 1197, 5811, 7845, 2387, 7511, 144, 7977, 3547, 117, 4821, 7047, 6940, 3495, 4844, 7153, 7002, 1062, 4247, 4986, 4639, 5026, 1944, 144]",1
"[4997, 7047, 2207, 7001, 2067, 1400, 7047, 1705, 957, 5404, 3814, 7047, 5912, 144]",1
"[7068, 957, 377, 1724, 2513, 117, 3661, 768, 3507, 1210, 4409, 4982, 4986, 2150, 144]",0
"[7068, 957, 4821, 5517, 1717, 4545, 144]",0
"[4821, 117, 3696, 4175, 6242, 768, 1724, 3481, 3814, 4986, 2150, 117, 6499, 3696, 2466, 4723, 7140, 7047, 6940, 3495, 1210, 4190, 4982, 5574, 7049, 1516, 144]",0
"[8063, 117, 7068, 3495, 1210, 4997, 4986, 1717, 4982, 283, 144]",0
"[4821, 117, 7047, 1516, 7765, 4409, 831, 5571, 4997, 3814, 4986, 5149, 2150, 144, 7068, 4082, 4821, 1887, 3127, 4982, 3368, 3179, 5574, 144]",1
"[768, 7047, 1516, 7765, 5571, 4982, 552, 6452, 2150, 144, 7047, 4227, 2150, 4938, 6768, 144]",0
"[4852, 4517, 3814, 5671, 3050, 144, 7492, 4014, 4844, 2609, 197, 5547, 4312, 3179, 5699, 2079, 144, 4821, 4303, 3179, 3617, 3677, 144]",1
"[1192, 4767, 4082, 4611, 144, 3179, 2814, 117, 4985, 552, 7492, 1621, 4982, 7047, 2618, 5482, 831, 7319, 7207, 4765, 117, 4125, 2394, 7207, 6003, 7207, 3597, 5100, 7068, 957, 4821, 2345, 1120, 3814, 7047, 5671, 3050, 7207, 3535, 7845, 7047, 904, 3127, 144]",1
"[5671, 3050, 4082, 4844, 7453, 831, 7068, 957, 4821, 3971, 4982, 3659, 822, 684, 5026, 552, 3617, 3677, 1428, 4350, 3814, 144, 7047, 7352, 117, 7161, 4113, 2378, 4723, 3507, 859, 6752, 117, 4082, 4044, 831, 6270, 2919, 144, 7977]",1
"[4821, 117, 4844, 5696, 144, 7047, 7727, 4175, 3495, 4986, 6064, 7207, 5010, 117, 831, 7047, 5671, 3050, 4082, 822, 1109, 3050, 117, 7791, 2494, 4723, 3827, 859, 7490, 3900, 144]",1
"[4773, 768, 4938, 7047, 4312, 6249, 7207, 3387, 7207, 7047, 7933, 5102, 144, 3179, 2814, 117, 551, 1165, 9, 3814, 7634, 3642, 7224, 4494, 7207, 552, 4316, 4938, 7511, 7037, 3463, 6408, 7446, 117, 7804, 4352, 3814, 986, 552, 5699, 144]",1
"[4014, 4082, 7607, 1192, 4113, 4217, 3814, 4459, 4432, 3273, 7037, 4409, 7047, 4767, 7173, 7047, 6455, 2394, 144, 5671, 7697, 4844, 7740, 2292, 7207, 7387, 7047, 6940, 80, 7867, 831, 7049, 3273, 144]",0
