Comments,Suggest_Solutions
"[7030, 1614, 4495, 1102, 5363, 6662, 158, 4670, 3892, 4921, 3662, 7032, 5222, 7115, 4403, 7064, 1614, 1102, 6361, 1328, 5486, 3803, 7030, 2557, 196]",0
"[7030, 3747, 987, 7542, 918, 2970, 7030, 3164, 7485, 7625, 196, 7039, 7644, 4797, 7245, 2444, 3803, 7030, 2557, 7066, 196]",0
"[962, 158, 7030, 7756, 2976, 7030, 3297, 7485, 7625, 158, 7048, 3527, 4705, 4495, 7663, 2387, 5132, 7048, 3527, 7378, 980, 7676, 713, 196]",0
"[4797, 4774, 7013, 3527, 1340, 837]",0
"[1614, 1102, 7485, 3414, 158, 7030, 1237, 3515, 5470, 2387, 5134, 7048, 7688, 1328, 7378, 3803, 7030, 3764, 158, 943, 7704, 7027, 4533, 7115, 1513, 6159, 3515, 1340, 2972, 2721]",0
"[7030, 2387, 1045, 7115, 1328, 6512, 158, 1495, 3692, 7053, 4670, 2414, 1102, 4757, 196]",0
"[345, 7030, 5222, 4050, 6512, 987, 6231, 7115, 1328, 1711, 2972, 1486, 5256]",0
"[7030, 5377, 7378, 7115, 6487, 7030, 5394, 1102, 6512]",0
"[7781, 158, 7030, 1744, 4050, 7625, 7760, 987, 3197, 7030, 2054, 4896, 6084, 2387, 5377, 196]",0
"[1744, 7760, 3196, 7030, 1758, 6607]",0
"[7048, 3527, 737, 6480, 6315, 4896, 7013, 7027, 7048, 5222, 7115, 3763, 7414, 7030, 6922, 1075, 196, 7059, 7688, 3555, 7030, 3071, 2424, 7115, 1328, 3204, 5455, 196, 7048, 2110, 2307, 821, 737, 3087, 4670, 6977, 1570, 1129, 987, 7654, 7048, 2423, 7030, 3067, 196]",0
"[7781, 7030, 2387, 6907, 750, 935, 7030, 3297, 7027, 7644, 854, 784, 7115, 7030, 5890, 2557]",0
"[6407, 987, 1707, 987, 2677, 7115, 3188, 196]",0
"[7059, 2387, 2552, 3840, 935, 7030, 3297, 5887]",0
"[7030, 6926, 5486, 3444, 6190, 7027, 1711, 2374, 7030, 1614, 3803, 7030, 6868, 196, 6418, 7030, 5440, 4050, 4392, 3180, 3803, 7030, 7492, 158, 7045, 3740, 5485, 2004, 7115, 7649, 4050, 3410, 7115, 1328, 1611, 158, 987, 7030, 1242, 5486, 7625, 7760, 2383, 4896, 7032, 1614, 196, 4927, 7051, 3692, 7053, 7030, 6926, 2110, 3527, 837, 1102, 4614, 4896, 7030, 4774, 2387, 196]",0
"[7030, 2387, 1045, 7115, 1328, 7485, 6512, 196, 6418, 7030, 6926, 4050, 4141, 7009, 4927, 3095, 158, 7048, 4934, 4756, 7115, 2687, 4927, 6977, 3095, 987, 7032, 2387, 2557, 5758, 7059, 196, 3444, 4094, 196]",0
"[2980, 1102, 1707, 987, 2677, 7115, 7274, 158, 987, 2127, 2662, 5045, 4921, 7663, 1614, 7740, 4756, 7115, 1328, 4382, 196]",0
"[7781, 196, 7048, 4141, 3822, 7030, 4751, 3892, 987, 4069, 111, 1920, 987, 2677, 7115, 3188, 196]",0
"[7781, 158, 7030, 1744, 4050, 5635, 7115, 1328, 2364, 1129, 4069, 7733, 1129, 2946, 196, 7030, 5741, 158, 7663, 7585, 7030, 3406, 4896, 7030, 5440, 3515, 1340, 2576, 7485, 7625, 987, 4050, 795, 3414, 2128, 196]",0
