Suggest_Solutions,Comments
0,"Of what code is available in the zip file, most of it is understandable. The devise gem seems unnecessary to their implementation however."
0,"Though not much ""hand writed"" but still great code with good project structure."
0,Github link is not submitted. I downloaded the repo and It has barely 4 commits with basic scaffolds and schema generated for realtors and houses �
0,Not uploaded on git.
0,"There is no Github link provided. Instead the code was zipped in an archive and posted on Expertizza. The code has no implementation of any functionality whatsoever, however, 'scaffold' code files exist in the zip with nil developer implementation. Code for 'house' is added though."
0,I Don't see the GIT Link here. Requesting to upload the GIT Link and Deployment URL in Expertiza instead of the Project Folders
0,The git repository link is not provided. A zip file is provided instead.
0,"No readme, or git link, code is difficult to sort through from the zip file."
0,Can not load the online page.
0,Cannot run the app
0,No readme file found�
0,"The project is not deployed on either of mentioned cloud platforms such as Heroku, AWS or VCL. Instead an locally run server's IP link is provided, which doesn't seem to work. As a result, I cannot test the interface at all. No README is provided as well."
0,I Don't see the Deployment URL to comment on this and rest other UI questions. Requesting to upload the GIT Link and Deployment URL in Expertiza instead of the Project Folders
0,The link seems to be a local deployment.
0,All tests in the zip file are scaffold generated.
0,"Yes, the house controller has been tested."
0,No testing has been done apart from the auto-generated tests.
0,Test cases for 'house controller' have been implemented in the code. No test cases for model exist.
0,I Don't see the GIT Link to comment on this. Requesting the Team to upload the GIT Link and Deployment URL in Expertiza instead of the Project Folders �
0,the link to git is not provided .
0,No git link available to track progress.
0,Can not tell without a git link.
1,"Only 4 commits, No Github link. Hard to review. Please update the Submission with a github link so other reviewers can maybe give some proepr feedback after testing the app. � �"
0,The zip posted doesn't seem to be updated again later after 1st Oct
1,I Don't see the GIT Link to comment on this. Requesting the Team to upload the GIT Link and Deployment URL in Expertiza instead of the Project Folders
0,No test cases have been implemented for any entity.
0,"Yes, the controllers have been properly tested."
0,"�There are some tests for the controllers, but it looks like just the scaffold generated tests."
0,"The team has implemented modules like: Login, signup, logout, List all companies and List all houses. However, they lack in many functionalities and under each module. So they are not properly implemented. They lack validations, session management and things like multiple same email addresses can be registered with different users. � Hence, no the team has not thoroughly tested at least one model or controller."
0,only the default testcases created by the command are present in the repository.
0,"There are 24 commits done, however all have been made on one day."
0,There are no proper commit messages.
0,"No, I just see all commits happened in one day, so I don't think the team has been keeping on pushing their changes."
0,"�No, there has been only one commit on 10/01."
0,"No, The changes were made and pushed only in one particular day. There is no consistent flow on GitHub for pushing."
0,All the changes were pushed on a single day. the last day of submission.
0,Nothing mentioned in readme file. user interface not easy .just provided links for realtor creation. No link for house hunter.
0,"Basic navigation is missing. For example, Once a user click on the edit profile and tries to navigate, its difficult to return to home page.� There are no details available in the readme file to help with the application flow."
