Comments,Suggest_Solutions
"[4042, 6360, 1341, 3323, 909, 3098, 5810, 6516, 2456, 93, 3841, 4042, 3348, 3323, 6068, 112, 5810, 1922, 2673, 5150, 6094, 5928, 5811, 3059, 2969, 112]",0
"[5892, 3968, 3852, 453, 2794, 6471, 9, 1129, 5496, 2768, 1341, 6418, 2741, 4524, 5525, 112]",0
"[2716, 3512, 3323, 3968, 5581, 112, 3002, 2048, 5810, 4864, 675, 3348, 2819, 966, 359, 1402, 6418, 972, 5083, 675, 5095, 2686, 2563, 4709, 675, 2950, 6526]",0
"[3968, 6121, 4082, 2714, 112]",0
"[5824, 3323, 3949, 2716, 3512, 4567, 112, 3226, 5810, 1341, 6305, 6517, 3098, 667, 768, 675, 4400, 4082, 2335, 112, 5810, 1341, 2819, 3949, 3059, 4042, 698, 2647, 6362, 93, 2969, 93, 68, 8, 1341, 2461, 2298, 3098, 5810, 6516, 6418, 3943, 1915, 3059, 112, 1341, 2563, 43, 8, 3323, 531, 5892, 112]",0
"[3002, 2002, 3869, 5141, 5810, 2714, 3512, 2868, 112, 4890, 5928, 6120, 5810, 2714, 3512, 675, 1861, 6129, 3098, 2327, 3226, 4042, 5810, 4524, 2541]",0
"[5810, 2714, 4874, 3512, 3323, 3968, 4567, 112, 454, 6516, 2456, 3323, 4567, 3226, 112]",0
"[3949, 4672, 93, 4124, 2714, 3512, 93, 1341, 3323, 1942, 5928, 5387, 5901, 2619, 5810, 6516, 2456, 112]",0
"[1168, 3968, 3540, 5810, 4095, 4185, 112]",0
"[1168, 3968, 5043, 5810, 711]",0
"[3949, 4672, 2456, 2600]",0
"[5810, 4524, 3323, 3968, 1858, 4082, 2143, 4042, 3697, 1334, 4351, 5602, 794, 2871, 93, 926, 4124, 6231, 112, 3226, 667, 3545, 5043, 5206, 67, 3318, 3512, 3323, 4567, 93, 6375, 2022, 3869, 5147, 5928, 6436, 112, 794, 454, 4942, 93, 3002, 1168, 3968, 5763, 5810, 3265, 856, 625, 112, 3949, 4672, 3323, 4567, 794, 6339, 112]",0
"[3002, 2002, 3869, 5141, 5810, 1861, 6129, 5928, 1387, 4082, 5882, 675, 4936, 4146, 6038, 4613, 112, 4890, 5928, 6120, 5810, 2714, 3512, 675, 1861, 6129, 3098, 2327, 3226, 4042, 5810, 4524, 2541]",0
"[5810, 3512, 5150, 5928, 977, 454, 3544, 1861, 112]",0
"[625, 5786, 3098, 5810, 6516, 2456, 769, 5080, 2686, 112]",0
"[6501, 93, 5810, 2926, 1580, 2819, 986, 5772, 112]",0
"[3949, 5780, 2819, 986, 2035, 708, 2619, 5810, 899, 5786, 112]",0
"[5763, 1201, 2563, 43, 1580, 8, 2830, 986, 3063, 3098, 5810, 1341, 112, 3949, 5763, 1201, 2563, 3796, 2298, 112]",0
"[3002, 2002, 3869, 5141, 5810, 2714, 3512, 5928, 1387, 4082, 5882, 112, 4890, 5810, 5723, 5928, 6120, 5810, 2714, 3512, 675, 1861, 6129, 3098, 2327, 3226, 4042, 5810, 4524, 2541, 6526]",0
"[5810, 3512, 5928, 2714, 3323, 3968, 4567, 112]",0
"[3949, 2714, 3512, 909, 5928, 5983, 4517, 112]",0
"[1168, 3968, 5745, 6420, 454, 2714, 3512, 112]",0
"[4097, 359, 1402, 93, 3949, 2716, 3512, 112, 2812, 5928, 4965, 112, 4355, 6113, 5810, 5576, 6418, 454, 2716, 3512, 5359, 4146, 4980, 1168, 3676, 2723, 5372, 4504, 2441, 593, 5780, 5810, 711, 112, 6526, 6526]",1
"[5810, 6516, 4400, 2022, 3869, 5147, 5928, 977, 6116, 600, 3444, 593, 281, 4037]",0
"[3002, 2002, 3869, 5141, 5810, 2714, 3512, 5928, 1387, 4082, 5882, 112, 4890, 5810, 5723, 5928, 6120, 5810, 2714, 3512, 675, 1861, 6129, 3098, 2327, 3226, 4042, 5810, 4524, 2541]",1
"[3949, 5763, 1201, 2830, 986, 3063, 2563, 698, 2227, 112]",0
"[6501, 93, 5810, 1587, 2830, 986, 4542, 5772, 112]",0
"[6612, 769, 5372, 5786, 2563, 5810, 1587, 93, 1129, 3348, 3578, 3495, 3396, 5810, 5080, 2686, 5786, 112]",0
